Model,RMSE,MAE,R2 Score
Linear Regression,368545.5035667431,128596.27505863894,0.5783554037401173
Ridge Regression,368572.9857615879,128594.96904279848,0.5782925178772764
KNN Regression,491385.53251081303,191002.20530726257,0.2504354541707884
Decision Tree,392144.7991961993,157041.7590782123,0.5226276900877278
Random Forest,358155.1740649948,136142.39959233397,0.6017949494571321
Tuned Random Forest,359406.83116824477,136650.40891426886,0.5990068445672447
ANN,406155.92897913966,148681.01692191954,0.4879057497729734
